emotion,topic,count,percentage
neutral,like,3081,6.980854197349043
neutral,feel,2954,6.693100713719271
neutral,want,2487,5.634983573127903
neutral,life,1619,3.668290472414184
neutral,know,2687,6.088138665458253
neutral,even,2224,5.0390846267134926
neutral,cannot,1098,2.487821456893622
neutral,people,1540,3.4892942109436955
neutral,time,2598,5.886484649371247
neutral,would,2068,4.68562365469582
neutral,one,3818,8.650730712586382
neutral,friends,404,0.9153732865073072
neutral,anything,63,0.14274385408406026
stress,like,3053,7.419378356703686
stress,feel,3004,7.300298913703856
stress,life,1562,3.7959610197088627
stress,know,2507,6.092493134705582
stress,even,2123,5.159299132421201
stress,cannot,1877,4.561471724707769
stress,people,1530,3.7181948528518314
stress,would,1589,3.861576222994483
stress,never,1117,2.714525261853265
stress,one,3520,8.554278354273494
stress,going,906,2.201754599139712
stress,anymore,225,0.5467933607135046
stress,anything,93,0.22600792242824858
stress,think,1072,2.605166589710564
stress,get,2514,6.109504483705558
stress,time,2315,5.6258961335633915
stress,really,1615,3.924761233565822
positive,feel,168,7.1367884451996595
positive,want,122,5.182667799490229
positive,even,91,3.8657604078164827
positive,time,126,5.352591333899745
positive,would,147,6.2446898895497025
positive,really,111,4.715378079864061
positive,one,248,10.535259133389975
positive,anything,3,0.1274426508071368
stress,want,2215,5.382876862135167
stress,depression,201,0.4884687355707308
stress,friends,333,0.8092541738559867
neutral,never,1076,2.4379743967372836
neutral,going,725,1.6426872096975191
neutral,anymore,97,0.21978021978021978
neutral,think,1038,2.351874929194517
neutral,really,1908,4.323099580831539
neutral,depression,137,0.3104112382462898
neutral,get,2636,5.972584116914014
positive,like,156,6.627017841971113
positive,life,93,3.95072217502124
positive,know,108,4.587935429056925
positive,get,127,5.395072217502124
positive,people,91,3.8657604078164827
positive,think,52,2.2090059473237043
positive,cannot,19,0.8071367884451998
positive,anymore,2,0.08496176720475786
positive,never,21,0.8920985556499574
positive,depression,5,0.21240441801189466
positive,going,24,1.0195412064570943
anxious,like,12,7.2727272727272725
anxious,feel,18,10.909090909090908
anxious,want,9,5.454545454545454
anxious,life,12,7.2727272727272725
anxious,cannot,5,3.0303030303030303
anxious,people,7,4.242424242424243
anxious,really,4,2.4242424242424243
anxious,one,15,9.090909090909092
anxious,friends,1,0.6060606060606061
anxious,anymore,1,0.6060606060606061
neutral,anxiety,295,0.6684037611872663
neutral,day,583,1.3209470941429704
stress,panic,84,0.20413618799970837
stress,anxiety,364,0.8845901479987364
stress,feeling,82,0.19927580257114388
stress,day,357,0.8675787989987607
stress,anyone,336,0.8165447519988335
stress,something,700,1.70113489999757
neutral,something,833,1.887390959555908
neutral,help,284,0.643480231109097
stress,help,323,0.7849522467131643
neutral,anyone,360,0.8156791661946302
neutral,feeling,56,0.126883425852498
neutral,panic,57,0.12914920131414975
positive,anxiety,19,0.8071367884451998
positive,help,20,0.8496176720475787
positive,day,47,1.9966015293118096
positive,anyone,17,0.7221750212404418
positive,panic,2,0.08496176720475786
positive,feeling,2,0.08496176720475786
anxious,anxiety,1,0.6060606060606061
anxious,know,11,6.666666666666667
anxious,even,7,4.242424242424243
anxious,would,9,5.454545454545454
anxious,anyone,2,1.2121212121212122
anxious,feeling,1,0.6060606060606061
anxious,something,7,4.242424242424243
stress,could,496,1.2053755862839923
neutral,things,840,1.9032513877874702
neutral,could,668,1.5135380083833692
stress,things,690,1.6768329728547475
positive,something,45,1.9116397621070518
positive,things,48,2.0390824129141887
positive,could,24,1.0195412064570943
neutral,die,35,0.07930214115781126
stress,die,117,0.2843325475710224
neutral,years,658,1.4908802537668517
stress,years,615,1.4945685192835794
stress,much,317,0.7703710904274709
neutral,much,282,0.6389486801857935
anxious,never,1,0.6060606060606061
positive,years,6,0.2548853016142736
positive,much,16,0.6796941376380629
anxious,get,8,4.848484848484849
anxious,time,7,4.242424242424243
anxious,depression,1,0.6060606060606061
anxious,things,5,3.0303030303030303
anxious,help,1,0.6060606060606061
neutral,said,97,0.21978021978021978
neutral,got,427,0.9674861221252974
stress,still,403,0.9793676638557437
stress,said,54,0.1312304065712411
stress,got,265,0.6440010692847943
neutral,still,698,1.5815112722329216
positive,got,8,0.33984706881903143
positive,still,26,1.1045029736618521
positive,said,2,0.08496176720475786
stress,back,158,0.3839704488565943
stress,told,79,0.19198522442829716
neutral,told,123,0.2786903817831653
neutral,back,286,0.6480117820324006
positive,back,5,0.21240441801189466
anxious,day,4,2.4242424242424243
neutral,lonely,98,0.22204599524187152
neutral,someone,270,0.6117593746459726
stress,someone,130,0.31592505285669154
stress,alone,83,0.20170599528542615
neutral,alone,86,0.19485668970205053
neutral,always,141,0.31947434009289677
stress,always,132,0.320785438285256
stress,lonely,92,0.2235777297139663
positive,friends,32,1.3593882752761257
positive,lonely,3,0.1274426508071368
positive,someone,41,1.7417162276975362
positive,always,4,0.16992353440951571
anxious,lonely,1,0.6060606060606061
positive,alone,3,0.1274426508071368
neutral,talk,280,0.63441712926249
stress,social,138,0.33536659457094947
stress,talk,159,0.38640064157087656
neutral,social,146,0.33080321740115554
positive,social,13,0.5522514868309261
positive,talk,43,1.826677994902294
neutral,bpd,118,0.26736150447490653
neutral,love,92,0.20845134247196104
stress,bpd,138,0.33536659457094947
positive,love,3,0.1274426508071368
stress,love,67,0.16282291185691025
positive,bpd,5,0.21240441801189466
anxious,bpd,1,0.6060606060606061
anxious,love,1,0.6060606060606061
positive,adhd,14,0.5947323704333051
positive,also,6,0.2548853016142736
stress,adhd,104,0.2527400422853532
stress,meds,31,0.07533597414274952
stress,work,107,0.26003062042819997
neutral,adhd,178,0.4033080321740116
neutral,also,159,0.3602582984026283
neutral,work,318,0.7205165968052566
stress,also,133,0.32321563099953826
neutral,meds,68,0.15407273139231903
positive,work,38,1.6142735768903995
anxious,adhd,2,1.2121212121212122
positive,meds,2,0.08496176720475786
anxious,work,2,1.2121212121212122
stress,ptsd,170,0.4131327614279813
neutral,ptsd,120,0.27189305539821
neutral,trauma,73,0.16540160870057777
stress,trauma,130,0.31592505285669154
positive,trauma,3,0.1274426508071368
positive,ptsd,6,0.2548853016142736
neutral,thoughts,79,0.17899626147048828
stress,thoughts,113,0.2746117767138934
stress,ocd,211,0.5127706627135532
positive,ocd,20,0.8496176720475787
neutral,ocd,162,0.3670556247875835
positive,thoughts,5,0.21240441801189466
neutral,way,213,0.4826101733318228
neutral,good,107,0.24243797439673728
stress,way,91,0.2211475369996841
positive,good,19,0.8071367884451998
positive,way,21,0.8920985556499574
stress,good,38,0.09234732314272522
neutral,need,149,0.3376005437861108
neutral,kind,114,0.2582984026282995
stress,need,54,0.1312304065712411
stress,kind,35,0.08505674499987849
positive,kind,34,1.4443500424808835
positive,need,23,0.9770603228547154
anxious,someone,2,1.2121212121212122
anxious,need,2,1.2121212121212122
anxious,kind,2,1.2121212121212122
anxious,still,1,0.6060606060606061
stress,therapy,97,0.23572869328537752
stress,therapist,85,0.20656638071399064
neutral,therapist,168,0.38065027755749403
neutral,therapy,156,0.35346097201767307
positive,therapy,6,0.2548853016142736
positive,therapist,9,0.3823279524214104
anxious,think,1,0.6060606060606061
anxious,going,1,0.6060606060606061
